JEEVAN BIKAS SAMAJ,11000112,NULL,JEEVAN BIKAS SAMAJ (HARINAGRA),Harinagra Bazaar,,Sunsari,Sunsari,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000114,NULL,JEEVAN BIKAS SAMAJ (DAMAK),Damak,,Jhapa,Jhapa,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000115,NULL,JEEVAN BIKAS SAMAJ (BIRTABAZAAR),Birta Bazaar, Near Durga Mandir,,Jhapa,Jhapa,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000116,NULL,JEEVAN BIKAS SAMAJ (GAURADAHA),Dipuchowk, Gauradaha,,Jhapa,Jhapa,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000117,NULL,JEEVAN BIKAS SAMAJ (GAURIGUNJ),Paragunj Chowk, Gaurigunj,,Jhapa,Jhapa,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000118,NULL,JEEVAN BIKAS SAMAJ (LETANG),Letang, Behind BP Chwok,,Morang,Morang,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000119,NULL,JEEVAN BIKAS SAMAJ (BANIYANI),Baniyani Chowk,,Jhapa,Jhapa,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000120,NULL,JEEVAN BIKAS SAMAJ (KERABARI),Kerabari, West from VDC,,Morang,Morang,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000121,NULL,JEEVAN BIKAS SAMAJ (ITABHATTA),Itabhatta Chowk,,Jhapa,Jhapa,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000122,NULL,JEEVAN BIKAS SAMAJ (BHADRAPUR),Bhadrapur, Near Birendra Public School,,Jhapa,Jhapa,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000123,NULL,JEEVAN BIKAS SAMAJ (AMARDAHA),NTC Tower Building,,Morang,Morang,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000124,NULL,JEEVAN BIKAS SAMAJ (MADHUWAN),Madhuwan Bazaar,,Sunsari,Sunsari,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000125,NULL,JEEVAN BIKAS SAMAJ (AMAHI),Amahi Bariyati,,Morang,Morang,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000126,NULL,JEEVAN BIKAS SAMAJ (BELBARI),Belbari,,Morang,Morang,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000127,NULL,JEEVAN BIKAS SAMAJ (SHIVAGUNJ),Shivagunj Bazaar,,Jhapa,Jhapa,np,np        ,NULL,NULL,NULL,NULL
JEEVAN BIKAS SAMAJ,11000129,NULL,JEEVAN BIKAS SAMAJ (BAHUNDANGI),Bahundangi, Buddha Mode,,Jhapa,Jhapa,np,np        ,NULL,NULL,NULL,NULL
